epoch,train_loss,val_loss
0,0.45179796125739813,0.44160719588398933
1,0.3979876544326544,0.37807852029800415
2,0.3610438257455826,0.3508201166987419
3,0.33630573586560786,0.35046626068651676
4,0.33095028484240174,0.3426610380411148
5,0.3254484850913286,0.3334046471863985
6,0.3298205058090389,0.33687710855156183
7,0.32328448491171,0.3422462558373809
8,0.31486792815849185,0.330763834528625
9,0.31939460965804756,0.3336173901334405
10,0.31458834186196327,0.33906053472310305
11,0.31346379267051816,0.3224594322964549
12,0.3105539344251156,0.3233251292258501
13,0.3044954549986869,0.33022535778582096
14,0.31218603695742786,0.33789701480418444
15,0.3092897040769458,0.33031552098691463
16,0.3056465685367584,0.3171310592442751
17,0.3106263258960098,0.32573706842958927
18,0.2969500352628529,0.3365717902779579
19,0.3105024890974164,0.3204477718099952
20,0.30709938216023147,0.3254872178658843
21,0.30250976025126874,0.30834320094436407
22,0.30478791147470474,0.3270138408988714
23,0.30571547988802195,0.32677063904702663
24,0.2967643993906677,0.31678686011582613
25,0.30151099525392056,0.3302981946617365
26,0.3012928741518408,0.33565280959010124
27,0.2942057268228382,0.31962835043668747
28,0.2981235838960856,0.3189938021823764
29,0.2937709973193705,0.3163864342495799
30,0.28799982788041234,0.328535090200603
31,0.3060218740720302,0.32660374511033297
32,0.29763176501728594,0.29594352748245
33,0.29735630308277905,0.32069912645965815
34,0.2879002292174846,0.2988273473456502
35,0.28710464388132095,0.30712527222931385
36,0.28905090340413153,0.306952890008688
37,0.293787628877908,0.30204320698976517
38,0.2860581942368299,0.3057972462847829
39,0.2902804925106466,0.3061007848009467
40,0.2797975572757423,0.30129885766655207
41,0.28211430204100907,0.2975166905671358
42,0.276749727781862,0.30164661817252636
43,0.281829189741984,0.3114629788324237
44,0.2787507427856326,0.29585572611540556
45,0.2796643746551126,0.29591825045645237
46,0.26996896136552095,0.2991442307829857
47,0.2768451487645507,0.28757692128419876
48,0.2728179150726646,0.31735726073384285
49,0.27816243399865925,0.30197075102478266
50,0.27085962845012546,0.2813955517485738
51,0.27962816413491964,0.29651527665555477
52,0.27293791505508125,0.28479673620313406
53,0.268308024154976,0.2912527807056904
54,0.28287089290097356,0.31538034602999687
55,0.28296411666087806,0.3013018472120166
56,0.2715025881770998,0.284174844622612
57,0.27189443120732903,0.31393043603748083
58,0.27640633611008525,0.2791415071114898
59,0.26030634460039437,0.28766828775405884
60,0.26360165420919657,0.2727596126496792
61,0.2731550687458366,0.2877514436841011
62,0.26449045026674867,0.3099052859470248
63,0.25966253015212715,0.2854481413960457
64,0.2666917003225535,0.2860956322401762
65,0.2600516816601157,0.2961724530905485
66,0.25979292788542807,0.2859973441809416
67,0.25563308876007795,0.30271417647600174
68,0.2595592928119004,0.2767238188534975
69,0.2502760828938335,0.273779914714396
70,0.25140341743826866,0.27059526089578867
71,0.2502330602146685,0.2815542798489332
72,0.2562057739123702,0.2787896078079939
73,0.2508556970860809,0.26452154386788607
74,0.25175965996459126,0.2667549792677164
75,0.2571249057073146,0.27487289253622293
76,0.24816029937937856,0.2749585648998618
77,0.25374153978191316,0.26343114487826824
78,0.2505632268730551,0.2631388073787093
79,0.24174828734248877,0.27620984613895416
80,0.2503299175295979,0.27811356633901596
81,0.2402088399976492,0.27487341314554214
82,0.24301319173537195,0.27269851602613926
83,0.24667775281704962,0.26879173517227173
84,0.24117873283103108,0.2666331920772791
85,0.23351683840155602,0.26408086717128754
86,0.2518923741299659,0.2648897999897599
87,0.23501943540759385,0.26856439374387264
88,0.24049856513738632,0.27153740264475346
89,0.2374499540310353,0.28143626172095537
90,0.23507559834979475,0.25893218722194433
91,0.23869016882963479,0.2947199968621135
92,0.2393689639866352,0.2603265820071101
93,0.22760899155400693,0.2495008474215865
94,0.22579704015515745,0.2560112262144685
95,0.22470265487208962,0.26344091817736626
96,0.2365634695161134,0.2623137952759862
97,0.23260053503327072,0.256247497163713
98,0.22732790536247194,0.2566617764532566
99,0.22618050943128765,0.27179886121302843
100,0.22591409785673022,0.25582538079470396
101,0.2257294119335711,0.2594475606456399
102,0.22866634535603225,0.2535895761102438
103,0.22348004928790033,0.2532737012952566
104,0.22322668717242777,0.2570645296946168
105,0.2234671253245324,0.25165084656327963
106,0.21973630506545305,0.2670388985425234
107,0.22323905117809772,0.2550343293696642
108,0.2222269580233842,0.2774501256644726
109,0.22046127053909004,0.2644933434203267
110,0.2144851149059832,0.2543560490012169
111,0.2121457492467016,0.24725406244397163
112,0.21382103418000042,0.24349374137818813
113,0.2176725824829191,0.25582324899733067
114,0.21528911124914885,0.2529428116977215
115,0.2031792028574273,0.25724121928215027
116,0.20285581075586379,0.24906849581748247
117,0.20409007486887276,0.2625859146937728
118,0.22009907895699143,0.258984899148345
119,0.20716007542796433,0.260592863894999
120,0.21557549247518182,0.24533336702734232
121,0.21351914969272912,0.25880097039043903
